ACTI T052,T053,T056,T051,T064,T055,T066,T057,T054
ANAT T017,T029,T023,T030,T031,T022,T025,T026,T018,T021,T024
CHEM T116,T195,T123,T122,T103,T120,T104,T200,T196,T126,T131,T125,T129,T130,T197,T114,T109,T121,T192,T127
CONC T185,T077,T169,T102,T078,T170,T171,T080,T081,T089,T082,T079
DEVI T203,T074,T075
DISO T020,T190,T049,T019,T047,T050,T033,T037,T048,T191,T046,T184
GENE T087,T088,T028,T085,T086
GEOG T083
LIVB T100,T011,T008,T194,T007,T012,T204,T099,T013,T004,T096,T016,T015,T001,T101,T002,T098,T097,T014,T010,T005,T071,T168,T073,T072,T167
OCCU T091,T090
ORGA T093,T092,T094,T095
PHEN T038,T069,T068,T034,T070,T067
PHYS T043,T201,T045,T041,T044,T032,T040,T042,T039
PROC T060,T065,T058,T059,T063,T062,T061
